mz,rt,into,pcgroup
129.1000605,28.79433333,116104.3539,2
130.0361784,28.7965,410300.0839,2
130.0399789,28.7965,454162.2932,2
130.0444332,28.79208333,108432.2215,2
130.0725755,28.7965,1389459.624,2
130.076331,28.7965,1820146.302,2
131.0342921,28.7965,3952403.7,2
131.05225,28.7965,3989224.269,2
131.0697963,28.7965,883751.2822,2
132.0338469,28.79433333,297802.5676,2
132.0518558,28.78783333,71676.33606,2
132.0556134,28.79216667,89121.19124,2
133.01353,28.79866667,7575960.812,2
133.0311365,28.79216667,159710.167,2
133.0499096,28.79866667,4545597.216,2
133.0679267,28.78016667,29215.06727,2
134.0130827,28.80083333,659081.0862,2
134.0168698,28.79433333,116233.6405,2
134.0494801,28.7965,367637.0341,2
134.0533235,28.78766667,70345.05341,2
135.010356,28.7965,383784.8415,2
135.0291577,28.79216667,132851.321,2
135.0467935,28.79433333,172453.2675,2
139.0573258,28.7965,313049.8948,2
141.0365559,28.79433333,55768.70069,2
141.0729477,28.7965,358136.3633,2
142.0443967,28.7965,64348.23492,2
142.0807848,28.7965,417177.259,2
143.0522261,28.7965,7556604.283,2
144.0517841,28.79216667,233632.6386,2
144.0555477,28.7965,323550.2132,2
145.0135345,28.78016667,14426.27529,2
